5.6400	-9.2825
8.6802	-10.2414
8.5581	-12.9844
11.4169	-9.1666
10.6501	-9.8833
10.751	-11.117
10.066	-12.850
10.29	-13.41
9.51	-13.71
9.77  	-13.31
9.4334	-13.0837
9.1262	-12.9177
10.383 	-9.300
9.184 	-10.100
8.567 	-10.133
8.6838 	-8.6334
8.08 	-10.71
7.864 	-11.196
7.97 	-8.39
7.5266 	-12.5050
7.3508 	-11.7181
7.2461 	-11.5258
8.85 	-8.66
6.37 	-10.79
8.24 	-9.81
5.91 	-9.46
5.51 	-8.66
4.77 	-8.22
10.033 	-10.733
9.52 	-11.36
8.78 	-10.89
9.2668 	-9.0167
8.11 	-12.62
7.955 	-11.741
8.550 	-9.467
7.751 	-8.817
7.05 	-11.07
8.84 	-9.36
9.25 	-12.17
8.7672 	-12.7673
8.75 	-11.80
8.36 	-13.03
8.56 	-10.53
8.485 	-13.234
